Frequency,year,Area,State,crop,Unit,Volume
"Annual, Ending mar Of Each Year", 3-2005,3.09,AndhraPradesh,Rice,Ton th,9601.0
"Annual, Ending mar Of Each Year", 3-2006,3.98,AndhraPradesh,Rice,Ton th,11704.0
"Annual, Ending mar Of Each Year", 3-2007,3.98,AndhraPradesh,Rice,Ton th,11872.0
"Annual, Ending mar Of Each Year", 3-2008,3.98,AndhraPradesh,Rice,Ton th,13324.0
"Annual, Ending mar Of Each Year", 3-2009,4.39,AndhraPradesh,Rice,Ton th,14241.0
"Annual, Ending mar Of Each Year", 3-2010,3.441,AndhraPradesh,Rice,Ton th,10538.0
"Annual, Ending mar Of Each Year", 3-2011,4.751,AndhraPradesh,Rice,Ton th,14418.0
"Annual, Ending mar Of Each Year", 3-2012,4.1,AndhraPradesh,Rice,Ton th,12900.0
"Annual, Ending mar Of Each Year", 3-2013,3.49,AndhraPradesh,Rice,Ton th,10910.0
"Annual, Ending mar Of Each Year", 3-2005,2.38,Assam,Rice,Ton th,3470.7
"Annual, Ending mar Of Each Year", 3-2006,2.42,Assam,Rice,Ton th,3552.5
"Annual, Ending mar Of Each Year", 3-2007,2.19,Assam,Rice,Ton th,2916.0
"Annual, Ending mar Of Each Year", 3-2008,2.32,Assam,Rice,Ton th,3319.0
"Annual, Ending mar Of Each Year", 3-2009,2.48,Assam,Rice,Ton th,4008.5
"Annual, Ending mar Of Each Year", 3-2010,2.4958,Assam,Rice,Ton th,4335.8
"Annual, Ending mar Of Each Year", 3-2011,2.57,Assam,Rice,Ton th,4737.0
"Annual, Ending mar Of Each Year", 3-2012,2.54,Assam,Rice,Ton th,4520.0
"Annual, Ending mar Of Each Year", 3-2013,2.24,Assam,Rice,Ton th,4560.0
"Annual, Ending mar Of Each Year", 3-2005,3.12,Bihar,Rice,Ton th,2472.2
"Annual, Ending mar Of Each Year", 3-2006,3.25,Bihar,Rice,Ton th,3495.5
"Annual, Ending mar Of Each Year", 3-2007,3.36,Bihar,Rice,Ton th,4989.3
"Annual, Ending mar Of Each Year", 3-2008,3.57,Bihar,Rice,Ton th,4418.1
"Annual, Ending mar Of Each Year", 3-2009,3.5,Bihar,Rice,Ton th,5590.3
"Annual, Ending mar Of Each Year", 3-2010,3.2137,Bihar,Rice,Ton th,3599.3
"Annual, Ending mar Of Each Year", 3-2011,2.833,Bihar,Rice,Ton th,3102.0
"Annual, Ending mar Of Each Year", 3-2012,3.32,Bihar,Rice,Ton th,7160.0
"Annual, Ending mar Of Each Year", 3-2013,3.25,Bihar,Rice,Ton th,7340.0
"Annual, Ending mar Of Each Year", 3-2005,3.75,Chhattisgarh,Rice,Ton th,4383.3
"Annual, Ending mar Of Each Year", 3-2006,3.75,Chhattisgarh,Rice,Ton th,5011.6
"Annual, Ending mar Of Each Year", 3-2007,3.72,Chhattisgarh,Rice,Ton th,5041.4
"Annual, Ending mar Of Each Year", 3-2008,3.75,Chhattisgarh,Rice,Ton th,5426.6
"Annual, Ending mar Of Each Year", 3-2009,3.73,Chhattisgarh,Rice,Ton th,4391.8
"Annual, Ending mar Of Each Year", 3-2010,3.6707,Chhattisgarh,Rice,Ton th,4110.4
"Annual, Ending mar Of Each Year", 3-2011,3.703,Chhattisgarh,Rice,Ton th,6159.0
"Annual, Ending mar Of Each Year", 3-2012,3.77,Chhattisgarh,Rice,Ton th,6030.0
"Annual, Ending mar Of Each Year", 3-2013,3.78,Chhattisgarh,Rice,Ton th,6610.0
"Annual, Ending mar Of Each Year", 3-2005,0.69,Gujarat,Rice,Ton th,1238.2
"Annual, Ending mar Of Each Year", 3-2006,0.67,Gujarat,Rice,Ton th,1298.0
"Annual, Ending mar Of Each Year", 3-2007,0.73,Gujarat,Rice,Ton th,1390.0
"Annual, Ending mar Of Each Year", 3-2008,0.76,Gujarat,Rice,Ton th,1474.0
"Annual, Ending mar Of Each Year", 3-2009,0.75,Gujarat,Rice,Ton th,1303.0
"Annual, Ending mar Of Each Year", 3-2010,0.679,Gujarat,Rice,Ton th,1292.0
"Annual, Ending mar Of Each Year", 3-2011,0.808,Gujarat,Rice,Ton th,1497.0
"Annual, Ending mar Of Each Year", 3-2012,0.84,Gujarat,Rice,Ton th,1790.0
"Annual, Ending mar Of Each Year", 3-2013,0.7,Gujarat,Rice,Ton th,1500.0
"Annual, Ending mar Of Each Year", 3-2005,1.03,Haryana,Rice,Ton th,3023.0
"Annual, Ending mar Of Each Year", 3-2006,1.05,Haryana,Rice,Ton th,3210.0
"Annual, Ending mar Of Each Year", 3-2007,1.04,Haryana,Rice,Ton th,3371.0
"Annual, Ending mar Of Each Year", 3-2008,1.08,Haryana,Rice,Ton th,3613.0
"Annual, Ending mar Of Each Year", 3-2009,1.21,Haryana,Rice,Ton th,3298.0
"Annual, Ending mar Of Each Year", 3-2010,1.205,Haryana,Rice,Ton th,3625.0
"Annual, Ending mar Of Each Year", 3-2011,1.245,Haryana,Rice,Ton th,3472.0
"Annual, Ending mar Of Each Year", 3-2012,1.24,Haryana,Rice,Ton th,3760.0
"Annual, Ending mar Of Each Year", 3-2013,1.22,Haryana,Rice,Ton th,3980.0
